"","X","newspaper","location","date1","year","full_text","date_original","full_state","state1","city1","full_state1","city","state","pubX","publication","black","Newspapers"
"668",668,"Richmond planet.","Richmond, Va.","January 13",1900,"Richmond planet. [volume] (Richmond, Va.), January 13, 1900, Page 8, Image 8","January 13, 1900","Virginia","Va","Richmond",NA,"Richmond","Va.","richmond planet","Richmond Planet","Y","Richmond Planet (Richmond, Va.) 1883-1938"
"669",669,"The freeman.","Indianapolis [Ind.]","January 26",1901,"The freeman. [volume] (Indianapolis [Ind.]), January 26, 1901, Image 6","January 26, 1901","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"670",670,"The colored American.","Washington, D.C.","February 16",1901,"The colored American. [volume] (Washington, D.C.), February 16, 1901, Page 11, Image 11","February 16, 1901","District of Columbia","DC","Washington",NA,"Washington","D.C.","the colored american","The Colored American","Y","The Colored American (Washington, D.C.) 1893-19??"
"671",671,"The freeman.","Indianapolis [Ind.]","February 23",1901,"The freeman. [volume] (Indianapolis [Ind.]), February 23, 1901, Image 6","February 23, 1901","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"672",672,"The freeman.","Indianapolis [Ind.]","March 02",1901,"The freeman. [volume] (Indianapolis [Ind.]), March 02, 1901, Image 2","March 02, 1901","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"673",673,"The semi-weekly messenger.","Wilmington, N.C.","November 01",1901,"The semi-weekly messenger. [volume] (Wilmington, N.C.), November 01, 1901, Page 2, Image 2","November 01, 1901","North Carolina","NC","Wilmington",NA,"Wilmington","N.C.","the semiweekly messenger",NA,"N",NA
"674",674,"The freeman.","Indianapolis [Ind.]","February 02",1901,"The freeman. [volume] (Indianapolis [Ind.]), February 02, 1901, Image 7","February 02, 1901","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"675",675,"San Antonio daily light.","San Antonio, Tex.","February 28",1901,"San Antonio daily light. [volume] (San Antonio, Tex.), February 28, 1901, Image 1","February 28, 1901","Texas","Tex","San Antonio",NA,"San Antonio","Tex.","san antonio daily light",NA,"N",NA
"676",676,"The Washington bee.","Washington, D.C.","August 24",1901,"The Washington bee. [volume] (Washington, D.C.), August 24, 1901, Image 1","August 24, 1901","District of Columbia","DC","Washington",NA,"Washington","D.C.","the washington bee","The Washington Bee","Y","The Washington Bee (Washington, D.C.) 1884-1922"
"677",677,"New-York tribune.","New York [N.Y.]","July 09",1901,"New-York tribune. [volume] (New York [N.Y.]), July 09, 1901, Page 9, Image 9","July 09, 1901","New York",NA,"New York NY",NA,"New York [N.Y.]",NA,"newyork tribune",NA,"N",NA
"678",678,"The colored American.","Washington, D.C.","August 17",1901,"The colored American. [volume] (Washington, D.C.), August 17, 1901, Page 4, Image 4","August 17, 1901","District of Columbia","DC","Washington",NA,"Washington","D.C.","the colored american","The Colored American","Y","The Colored American (Washington, D.C.) 1893-19??"
"679",679,"The new age.","Butte, Mont.","May 30",1902,"The new age. [volume] (Butte, Mont.), May 30, 1902, Page 4, Image 4","May 30, 1902","Montana","Mont","Butte",NA,"Butte","Mont.","the new age","The New Age","Y","The New Age (Butte, Mont.) 1902-190?"
"680",680,"Iowa state bystander.","Des Moines, Iowa","July 25",1902,"Iowa state bystander. [volume] (Des Moines, Iowa), July 25, 1902, Image 1","July 25, 1902","Iowa","Iowa","Des Moines",NA,"Des Moines","Iowa","iowa state bystander","Iowa State Bystander","Y","Iowa State Bystander (Des Moines, Iowa) 1894-1916"
"681",681,"The freeman.","Indianapolis [Ind.]","November 29",1902,"The freeman. [volume] (Indianapolis [Ind.]), November 29, 1902, Image 2","November 29, 1902","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"682",682,"The Appeal.","Saint Paul, Minn. ;","June 07",1902,"The Appeal. [volume] (Saint Paul, Minn. ;), June 07, 1902, Image 5","June 07, 1902","Minnesota","Minn ","Saint Paul",NA,"Saint Paul","Minn. ;","the appeal","The Appeal","Y","The Appeal (Saint Paul, Minn. ; Minneapolis, Minn. ; Chicago, Ill.) 1889-19??"
"683",683,"The Appeal.","Saint Paul, Minn. ;","July 19",1902,"The Appeal. [volume] (Saint Paul, Minn. ;), July 19, 1902, Image 2","July 19, 1902","Minnesota","Minn ","Saint Paul",NA,"Saint Paul","Minn. ;","the appeal","The Appeal","Y","The Appeal (Saint Paul, Minn. ; Minneapolis, Minn. ; Chicago, Ill.) 1889-19??"
"684",684,"The Minneapolis journal.","Minneapolis, Minn.","July 05",1902,"The Minneapolis journal. [volume] (Minneapolis, Minn.), July 05, 1902, Page 5, Image 5","July 05, 1902","Minnesota","Minn","Minneapolis",NA,"Minneapolis","Minn.","the minneapolis journal",NA,"N",NA
"685",685,"The Appeal.","Saint Paul, Minn. ;","July 05",1902,"The Appeal. [volume] (Saint Paul, Minn. ;), July 05, 1902, Image 3","July 05, 1902","Minnesota","Minn ","Saint Paul",NA,"Saint Paul","Minn. ;","the appeal","The Appeal","Y","The Appeal (Saint Paul, Minn. ; Minneapolis, Minn. ; Chicago, Ill.) 1889-19??"
"686",686,"The freeman.","Indianapolis [Ind.]","June 14",1902,"The freeman. [volume] (Indianapolis [Ind.]), June 14, 1902, Image 4","June 14, 1902","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"687",687,"The Appeal.","Saint Paul, Minn. ;","June 14",1902,"The Appeal. [volume] (Saint Paul, Minn. ;), June 14, 1902, Image 4","June 14, 1902","Minnesota","Minn ","Saint Paul",NA,"Saint Paul","Minn. ;","the appeal","The Appeal","Y","The Appeal (Saint Paul, Minn. ; Minneapolis, Minn. ; Chicago, Ill.) 1889-19??"
"688",688,"The freeman.","Indianapolis [Ind.]","March 29",1902,"The freeman. [volume] (Indianapolis [Ind.]), March 29, 1902, Image 4","March 29, 1902","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"689",689,"The Saint Paul globe.","St. Paul, Minn.","June 22",1902,"The Saint Paul globe. (St. Paul, Minn.), June 22, 1902, Image 2","June 22, 1902","Minnesota","Minn","St Paul",NA,"St. Paul","Minn.","the saint paul globe",NA,"N",NA
"690",690,"The gazette.","Cleveland, Ohio","July 05",1902,"The gazette. [volume] (Cleveland, Ohio), July 05, 1902, Page 2, Image 2","July 05, 1902","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"691",691,"The Appeal.","Saint Paul, Minn. ;","June 28",1902,"The Appeal. [volume] (Saint Paul, Minn. ;), June 28, 1902, Image 8","June 28, 1902","Minnesota","Minn ","Saint Paul",NA,"Saint Paul","Minn. ;","the appeal","The Appeal","Y","The Appeal (Saint Paul, Minn. ; Minneapolis, Minn. ; Chicago, Ill.) 1889-19??"
"692",692,"The Minneapolis journal.","Minneapolis, Minn.","March 20",1902,"The Minneapolis journal. [volume] (Minneapolis, Minn.), March 20, 1902, Page 7, Image 7","March 20, 1902","Minnesota","Minn","Minneapolis",NA,"Minneapolis","Minn.","the minneapolis journal",NA,"N",NA
"693",693,"The colored American.","Washington, D.C.","August 02",1902,"The colored American. [volume] (Washington, D.C.), August 02, 1902, Page 3, Image 3","August 02, 1902","District of Columbia","DC","Washington",NA,"Washington","D.C.","the colored american","The Colored American","Y","The Colored American (Washington, D.C.) 1893-19??"
"694",694,"Deseret evening news.","Great Salt Lake City [Utah]","April 01",1902,"Deseret evening news. [volume] (Great Salt Lake City [Utah]), April 01, 1902, Page 8, Image 8","April 01, 1902","Utah",NA,"Great Salt Lake City Utah",NA,"Great Salt Lake City [Utah]",NA,"deseret evening news",NA,"N",NA
"695",695,"Deseret evening news.","Great Salt Lake City [Utah]","April 02",1902,"Deseret evening news. [volume] (Great Salt Lake City [Utah]), April 02, 1902, Page 8, Image 8","April 02, 1902","Utah",NA,"Great Salt Lake City Utah",NA,"Great Salt Lake City [Utah]",NA,"deseret evening news",NA,"N",NA
"696",696,"The Portland daily press.","Portland, Me.","April 22",1902,"The Portland daily press. [volume] (Portland, Me.), April 22, 1902, Page 10, Image 10","April 22, 1902","Maine","Me","Portland","Maine","Portland","Me.","the portland daily press",NA,"N",NA
"697",697,"Ottumwa semi-weekly courier.","Ottumwa, Iowa","April 21",1903,"Ottumwa semi-weekly courier. [volume] (Ottumwa, Iowa), April 21, 1903, Image 5","April 21, 1903","Iowa","Iowa","Ottumwa",NA,"Ottumwa","Iowa","ottumwa semiweekly courier",NA,"N",NA
"698",698,"The gazette.","Cleveland, Ohio","November 07",1903,"The gazette. [volume] (Cleveland, Ohio), November 07, 1903, Page 2, Image 2","November 07, 1903","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"699",699,"Omaha daily bee.","Omaha [Neb.]","May 26",1903,"Omaha daily bee. (Omaha [Neb.]), May 26, 1903, Page 7, Image 7","May 26, 1903","Nebraska",NA,"Omaha Neb","Nebraska","Omaha [Neb.]",NA,"omaha daily bee",NA,"N",NA
"700",700,"Iowa state bystander.","Des Moines, Iowa","May 29",1903,"Iowa state bystander. [volume] (Des Moines, Iowa), May 29, 1903, Image 1","May 29, 1903","Iowa","Iowa","Des Moines",NA,"Des Moines","Iowa","iowa state bystander","Iowa State Bystander","Y","Iowa State Bystander (Des Moines, Iowa) 1894-1916"
"701",701,"The gazette.","Cleveland, Ohio","November 21",1903,"The gazette. [volume] (Cleveland, Ohio), November 21, 1903, Page 3, Image 3","November 21, 1903","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"702",702,"The freeman.","Indianapolis [Ind.]","April 04",1903,"The freeman. [volume] (Indianapolis [Ind.]), April 04, 1903, Image 10","April 04, 1903","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"703",703,"The gazette.","Cleveland, Ohio","August 22",1903,"The gazette. [volume] (Cleveland, Ohio), August 22, 1903, Image 1","August 22, 1903","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"704",704,"The gazette.","Cleveland, Ohio","August 29",1903,"The gazette. [volume] (Cleveland, Ohio), August 29, 1903, Image 1","August 29, 1903","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"705",705,"The gazette.","Cleveland, Ohio","July 11",1903,"The gazette. [volume] (Cleveland, Ohio), July 11, 1903, Image 1","July 11, 1903","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"706",706,"The gazette.","Cleveland, Ohio","October 17",1903,"The gazette. [volume] (Cleveland, Ohio), October 17, 1903, Image 1","October 17, 1903","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"707",707,"The gazette.","Cleveland, Ohio","October 24",1903,"The gazette. [volume] (Cleveland, Ohio), October 24, 1903, Page 2, Image 2","October 24, 1903","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"708",708,"The gazette.","Cleveland, Ohio","June 27",1903,"The gazette. [volume] (Cleveland, Ohio), June 27, 1903, Page 2, Image 2","June 27, 1903","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"709",709,"The gazette.","Cleveland, Ohio","May 02",1903,"The gazette. [volume] (Cleveland, Ohio), May 02, 1903, Image 1","May 02, 1903","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"710",710,"The St. Louis Republic.","St. Louis, Mo.","February 08",1903,"The St. Louis Republic. [volume] (St. Louis, Mo.), February 08, 1903, PART IV, Image 44","February 08, 1903","Missouri","Mo","St Louis",NA,"St. Louis","Mo.","the st louis republic",NA,"N",NA
"711",711,"Evening star.","Washington, D.C.","June 20",1903,"Evening star. [volume] (Washington, D.C.), June 20, 1903, Page 23, Image 23","June 20, 1903","District of Columbia","DC","Washington",NA,"Washington","D.C.","evening star",NA,"N",NA
"712",712,"The colored American.","Washington, D.C.","September 05",1903,"The colored American. [volume] (Washington, D.C.), September 05, 1903, Page 8, Image 8","September 05, 1903","District of Columbia","DC","Washington",NA,"Washington","D.C.","the colored american","The Colored American","Y","The Colored American (Washington, D.C.) 1893-19??"
"713",713,"The broad ax.","Salt Lake City, Utah","December 03",1904,"The broad ax. [volume] (Salt Lake City, Utah), December 03, 1904, Image 1","December 03, 1904","Utah","Utah","Salt Lake City",NA,"Salt Lake City","Utah","the broad ax","The Broad Ax","Y","The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??"
"714",714,"The gazette.","Cleveland, Ohio","October 29",1904,"The gazette. [volume] (Cleveland, Ohio), October 29, 1904, Page 2, Image 2","October 29, 1904","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"715",715,"The Vinita daily chieftain.","Vinita, Indian Territory [Okla.]","July 27",1904,"The Vinita daily chieftain. [volume] (Vinita, Indian Territory [Okla.]), July 27, 1904, Image 1","July 27, 1904","Oklahoma","Indian Territory Okla","Vinita","Oklahoma","Vinita","Indian Territory [Okla.]","the vinita daily chieftain",NA,"N",NA
"716",716,"Democratic messenger.","Snow Hill, Md.","August 13",1904,"Democratic messenger. [volume] (Snow Hill, Md.), August 13, 1904, Page 6, Image 6","August 13, 1904","Maryland","Md","Snow Hill",NA,"Snow Hill","Md.","democratic messenger",NA,"N",NA
"717",717,"The times dispatch.","Richmond, Va.","August 11",1904,"The times dispatch. [volume] (Richmond, Va.), August 11, 1904, Image 1","August 11, 1904","Virginia","Va","Richmond",NA,"Richmond","Va.","the times dispatch",NA,"N",NA
"718",718,"The Savannah morning news.","Savannah, Ga.","August 11",1904,"The Savannah morning news. (Savannah, Ga.), August 11, 1904, Page 5, Image 5","August 11, 1904","Georgia","Ga","Savannah",NA,"Savannah","Ga.","the savannah morning news",NA,"N",NA
"719",719,"The broad ax.","Salt Lake City, Utah","February 25",1905,"The broad ax. [volume] (Salt Lake City, Utah), February 25, 1905, Image 1","February 25, 1905","Utah","Utah","Salt Lake City",NA,"Salt Lake City","Utah","the broad ax","The Broad Ax","Y","The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??"
"720",720,"The gazette.","Cleveland, Ohio","October 14",1905,"The gazette. [volume] (Cleveland, Ohio), October 14, 1905, Image 1","October 14, 1905","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"721",721,"The gazette.","Cleveland, Ohio","November 25",1905,"The gazette. [volume] (Cleveland, Ohio), November 25, 1905, Image 1","November 25, 1905","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"722",722,"The broad ax.","Salt Lake City, Utah","April 01",1905,"The broad ax. [volume] (Salt Lake City, Utah), April 01, 1905, Image 1","April 01, 1905","Utah","Utah","Salt Lake City",NA,"Salt Lake City","Utah","the broad ax","The Broad Ax","Y","The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??"
"723",723,"The freeman.","Indianapolis [Ind.]","October 21",1905,"The freeman. [volume] (Indianapolis [Ind.]), October 21, 1905, Image 3","October 21, 1905","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"724",724,"The times dispatch.","Richmond, Va.","September 22",1905,"The times dispatch. [volume] (Richmond, Va.), September 22, 1905, Image 5","September 22, 1905","Virginia","Va","Richmond",NA,"Richmond","Va.","the times dispatch",NA,"N",NA
"725",725,"The broad ax.","Salt Lake City, Utah","May 05",1906,"The broad ax. [volume] (Salt Lake City, Utah), May 05, 1906, Image 1","May 05, 1906","Utah","Utah","Salt Lake City",NA,"Salt Lake City","Utah","the broad ax","The Broad Ax","Y","The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??"
"726",726,"The gazette.","Cleveland, Ohio","November 24",1906,"The gazette. [volume] (Cleveland, Ohio), November 24, 1906, Image 1","November 24, 1906","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"727",727,"The broad ax.","Salt Lake City, Utah","April 06",1907,"The broad ax. [volume] (Salt Lake City, Utah), April 06, 1907, Image 2","April 06, 1907","Utah","Utah","Salt Lake City",NA,"Salt Lake City","Utah","the broad ax","The Broad Ax","Y","The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??"
"728",728,"The freeman.","Indianapolis [Ind.]","January 11",1908,"The freeman. [volume] (Indianapolis [Ind.]), January 11, 1908, Page 2, Image 2","January 11, 1908","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"729",729,"The times dispatch.","Richmond, Va.","June 22",1908,"The times dispatch. [volume] (Richmond, Va.), June 22, 1908, Image 2","June 22, 1908","Virginia","Va","Richmond",NA,"Richmond","Va.","the times dispatch",NA,"N",NA
"730",730,"Deseret evening news.","Great Salt Lake City [Utah]","March 13",1908,"Deseret evening news. [volume] (Great Salt Lake City [Utah]), March 13, 1908, Last Edition, Page 10, Image 10","March 13, 1908","Utah",NA,"Great Salt Lake City Utah",NA,"Great Salt Lake City [Utah]",NA,"deseret evening news",NA,"N",NA
"731",731,"Evening star.","Washington, D.C.","January 04",1908,"Evening star. [volume] (Washington, D.C.), January 04, 1908, Page 3, Image 3","January 04, 1908","District of Columbia","DC","Washington",NA,"Washington","D.C.","evening star",NA,"N",NA
"732",732,"The Colorado statesman.","Denver, Colo.","December 18",1909,"The Colorado statesman. [volume] (Denver, Colo.), December 18, 1909, Image 1","December 18, 1909","Colorado","Colo","Denver",NA,"Denver","Colo.","the colorado statesman","The Colorado Statesman","Y","The Colorado Statesman (Denver, Colo.) 1895-1961"
"733",733,"The broad ax.","Salt Lake City, Utah","June 19",1909,"The broad ax. [volume] (Salt Lake City, Utah), June 19, 1909, Image 2","June 19, 1909","Utah","Utah","Salt Lake City",NA,"Salt Lake City","Utah","the broad ax","The Broad Ax","Y","The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??"
"734",734,"The freeman.","Indianapolis [Ind.]","December 18",1909,"The freeman. [volume] (Indianapolis [Ind.]), December 18, 1909, Page 4, Image 4","December 18, 1909","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"735",735,"Ottumwa tri-weekly courier.","Ottumwa, Iowa","March 09",1909,"Ottumwa tri-weekly courier. [volume] (Ottumwa, Iowa), March 09, 1909, Image 1","March 09, 1909","Iowa","Iowa","Ottumwa",NA,"Ottumwa","Iowa","ottumwa triweekly courier",NA,"N",NA
"736",736,"The Madison daily leader.","Madison, S.D.","June 02",1909,"The Madison daily leader. [volume] (Madison, S.D.), June 02, 1909, Image 1","June 02, 1909","South Dakota","SD","Madison",NA,"Madison","S.D.","the madison daily leader",NA,"N",NA
"737",737,"The forum.","Springfield, Ill.","January 15",1910,"The forum. [volume] (Springfield, Ill.), January 15, 1910, Image 2","January 15, 1910","Illinois","Ill","Springfield",NA,"Springfield","Ill.","the forum","The Forum","Y","The Forum (Springfield, Ill.; Springfield, Ill. ; Peoria, Ill.) 1904-192?"
"738",738,"Franklin's paper the statesman.","Denver, Colo.","January 15",1910,"Franklin's paper the statesman. (Denver, Colo.), January 15, 1910, Page PAGE 6, Image 6","January 15, 1910","Colorado","Colo","Denver",NA,"Denver","Colo.","franklins paper the statesman","Franklin's Paper the Statesman","Y","Franklin's Paper the Statesman (Denver, Colo.) 1906-1912"
"739",739,"The broad ax.","Salt Lake City, Utah","August 06",1910,"The broad ax. [volume] (Salt Lake City, Utah), August 06, 1910, Image 1","August 06, 1910","Utah","Utah","Salt Lake City",NA,"Salt Lake City","Utah","the broad ax","The Broad Ax","Y","The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??"
"740",740,"The broad ax.","Salt Lake City, Utah","August 27",1910,"The broad ax. [volume] (Salt Lake City, Utah), August 27, 1910, Image 2","August 27, 1910","Utah","Utah","Salt Lake City",NA,"Salt Lake City","Utah","the broad ax","The Broad Ax","Y","The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??"
"741",741,"The broad ax.","Salt Lake City, Utah","July 30",1910,"The broad ax. [volume] (Salt Lake City, Utah), July 30, 1910, Image 1","July 30, 1910","Utah","Utah","Salt Lake City",NA,"Salt Lake City","Utah","the broad ax","The Broad Ax","Y","The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??"
"742",742,"The advocate.","Charleston, W. Va.","May 19",1910,"The advocate. [volume] (Charleston, W. Va.), May 19, 1910, Image 1","May 19, 1910","Virginia","W Va","Charleston",NA,"Charleston","W. Va.","the advocate",NA,"N",NA
"743",743,"The San Francisco call.","San Francisco [Calif.]","November 18",1910,"The San Francisco call. [volume] (San Francisco [Calif.]), November 18, 1910, Page 4, Image 4","November 18, 1910","California",NA,"San Francisco Calif",NA,"San Francisco [Calif.]",NA,"the san francisco call",NA,"N",NA
"744",744,"The broad ax.","Salt Lake City, Utah","January 14",1911,"The broad ax. [volume] (Salt Lake City, Utah), January 14, 1911, Image 1","January 14, 1911","Utah","Utah","Salt Lake City",NA,"Salt Lake City","Utah","the broad ax","The Broad Ax","Y","The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??"
"745",745,"The freeman.","Indianapolis [Ind.]","May 20",1911,"The freeman. [volume] (Indianapolis [Ind.]), May 20, 1911, Page 4, Image 4","May 20, 1911","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"746",746,"San Antonio light.","San Antonio, Tex.","June 10",1911,"San Antonio light. [volume] (San Antonio, Tex.), June 10, 1911, CITY EDITION, Page 3, Image 3","June 10, 1911","Texas","Tex","San Antonio",NA,"San Antonio","Tex.","san antonio light",NA,"N",NA
"747",747,"The gazette.","Cleveland, Ohio","October 28",1911,"The gazette. [volume] (Cleveland, Ohio), October 28, 1911, Image 2","October 28, 1911","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"748",748,"The gazette.","Cleveland, Ohio","November 04",1911,"The gazette. [volume] (Cleveland, Ohio), November 04, 1911, Image 3","November 04, 1911","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"749",749,"The gazette.","Cleveland, Ohio","October 21",1911,"The gazette. [volume] (Cleveland, Ohio), October 21, 1911, Image 2","October 21, 1911","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"750",750,"The gazette.","Cleveland, Ohio","December 30",1911,"The gazette. [volume] (Cleveland, Ohio), December 30, 1911, Image 2","December 30, 1911","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"751",751,"Franklin's paper the statesman.","Denver, Colo.","May 11",1912,"Franklin's paper the statesman. (Denver, Colo.), May 11, 1912, Page 2, Image 2","May 11, 1912","Colorado","Colo","Denver",NA,"Denver","Colo.","franklins paper the statesman","Franklin's Paper the Statesman","Y","Franklin's Paper the Statesman (Denver, Colo.) 1906-1912"
"752",752,"The broad ax.","Salt Lake City, Utah","May 18",1912,"The broad ax. [volume] (Salt Lake City, Utah), May 18, 1912, Image 4","May 18, 1912","Utah","Utah","Salt Lake City",NA,"Salt Lake City","Utah","the broad ax","The Broad Ax","Y","The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??"
"753",753,"The broad ax.","Salt Lake City, Utah","November 02",1912,"The broad ax. [volume] (Salt Lake City, Utah), November 02, 1912, Image 7","November 02, 1912","Utah","Utah","Salt Lake City",NA,"Salt Lake City","Utah","the broad ax","The Broad Ax","Y","The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??"
"754",754,"The broad ax.","Salt Lake City, Utah","October 12",1912,"The broad ax. [volume] (Salt Lake City, Utah), October 12, 1912, Image 2","October 12, 1912","Utah","Utah","Salt Lake City",NA,"Salt Lake City","Utah","the broad ax","The Broad Ax","Y","The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??"
"755",755,"The broad ax.","Salt Lake City, Utah","November 16",1912,"The broad ax. [volume] (Salt Lake City, Utah), November 16, 1912, Image 2","November 16, 1912","Utah","Utah","Salt Lake City",NA,"Salt Lake City","Utah","the broad ax","The Broad Ax","Y","The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??"
"756",756,"The gazette.","Cleveland, Ohio","September 14",1912,"The gazette. [volume] (Cleveland, Ohio), September 14, 1912, Image 2","September 14, 1912","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"757",757,"The broad ax.","Salt Lake City, Utah","May 11",1912,"The broad ax. [volume] (Salt Lake City, Utah), May 11, 1912, Image 2","May 11, 1912","Utah","Utah","Salt Lake City",NA,"Salt Lake City","Utah","the broad ax","The Broad Ax","Y","The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??"
"758",758,"The broad ax.","Salt Lake City, Utah","May 11",1912,"The broad ax. [volume] (Salt Lake City, Utah), May 11, 1912, Image 3","May 11, 1912","Utah","Utah","Salt Lake City",NA,"Salt Lake City","Utah","the broad ax","The Broad Ax","Y","The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??"
"759",759,"The gazette.","Cleveland, Ohio","October 19",1912,"The gazette. [volume] (Cleveland, Ohio), October 19, 1912, Image 2","October 19, 1912","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"760",760,"The gazette.","Cleveland, Ohio","April 06",1912,"The gazette. [volume] (Cleveland, Ohio), April 06, 1912, Image 1","April 06, 1912","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
